id,annee
article_1002,2005
article_214,2012
article_760,2007
article_689,2007
article_41,2015
article_932,2005
article_461,2010
article_507,2009
article_492,2009
article_1040,2004
article_833,2006
article_315  ,2011
article_197  ,2013
article_733  ,2007
article_553  ,2009
article_846  ,2006
article_1067  ,2004
article_570  ,2009
article_1096  ,2004
article_475  ,2010
article_485  ,2010
article_126  ,2014
article_139  ,2014
article_815  ,2006
article_855  ,2006
article_712  ,2007
article_418  ,2010
article_242  ,2012
article_581  ,2008
article_49  ,2015
article_93  ,2014
article_155  ,2013
article_795  ,2006
article_510  ,2009
article_431  ,2010
article_781  ,2006
article_472  ,2010
article_2  ,2015
article_189  ,2013
article_13  ,2015
article_676  ,2007
article_89  ,2014
article_348  ,2011
article_609  ,2008
article_721  ,2007
article_195  ,2013
article_67  ,2015
article_124  ,2014
article_465  ,2010
article_480  ,2010
article_1028  ,2004
article_886  ,2005
article_531  ,2009
article_615  ,2008
article_223  ,2012
article_519  ,2009
article_977  ,2005
article_82  ,2014
article_858  ,2006
article_159  ,2013
article_879  ,2005
article_10  ,2015
article_642  ,2008
article_680  ,2007
article_29  ,2015
article_946  ,2005
article_433  ,2010
article_98  ,2014
article_55  ,2015
article_1031  ,2004
article_194  ,2013
article_1071  ,2004
article_926  ,2005
article_693  ,2007
article_958  ,2005
article_666  ,2008
article_421  ,2010
article_829  ,2006
article_940  ,2005
article_1063  ,2004
article_726  ,2007
article_719  ,2007
article_1005  ,2005
article_791  ,2006
article_518  ,2009
article_798  ,2006
article_464  ,2010
article_66  ,2015
article_146  ,2014
article_517  ,2009
article_161  ,2013
article_269  ,2012
article_528  ,2009
article_635  ,2008
article_648  ,2008
article_636  ,2008
article_549  ,2009
article_436  ,2010
article_1079  ,2004
article_895  ,2005
article_131  ,2014
article_449  ,2010
article_572  ,2008
article_258  ,2012
article_1018  ,2005
article_398  ,2010
article_671  ,2008
article_807  ,2006
article_452  ,2010
article_488  ,2010
article_61  ,2015
article_179  ,2013
article_1029  ,2004
article_119  ,2014
article_54  ,2015
article_33  ,2015
article_984  ,2005
article_237  ,2012
article_685  ,2007
article_831  ,2006
article_927  ,2005
article_261  ,2012
article_87  ,2014
article_913  ,2005
article_389  ,2010
article_1009  ,2005
article_138  ,2014
article_395  ,2010
article_1099  ,2004
article_1060  ,2004
article_346  ,2011
article_713  ,2007
article_828  ,2006
article_1037  ,2004
article_425  ,2010
article_275  ,2012
article_888  ,2005
article_784  ,2006
article_241  ,2012
article_394  ,2010
article_37  ,2015
article_969  ,2005
article_551  ,2009
article_983  ,2005
article_556  ,2009
article_156  ,2013
article_6  ,2015
article_68  ,2014
article_1043  ,2004
article_79  ,2014
article_3  ,2015
article_536  ,2009
article_16  ,2015
article_830  ,2006
article_274  ,2012
article_111  ,2014
article_728  ,2007
article_231  ,2012
article_904  ,2005
article_1087  ,2004
article_11  ,2015
article_632  ,2008
article_1015  ,2005
article_982  ,2005
article_246  ,2012
article_797  ,2006
article_800  ,2006
article_328  ,2011
article_960  ,2005
article_416  ,2010
article_1010  ,2005
article_626  ,2008
article_448  ,2010
article_954  ,2005
article_1016  ,2005
article_277  ,2011
article_1048  ,2004
article_403  ,2010
article_568  ,2009
article_341  ,2011
article_649  ,2008
article_42  ,2015
article_1077  ,2004
article_430  ,2010
article_370  ,2011
article_253  ,2012
article_571  ,2009
article_283  ,2011
article_52  ,2015
article_889  ,2005
article_751  ,2007
article_698  ,2007
article_235  ,2012
article_678  ,2007
article_331  ,2011
article_386  ,2010
article_135  ,2014
article_994  ,2005
article_832  ,2006
article_525  ,2009
article_836  ,2006
article_934  ,2005
article_978  ,2005
article_490  ,2010
article_474  ,2010
article_896  ,2005
article_535  ,2009
article_225  ,2012
article_295  ,2011
article_862  ,2006
article_730  ,2007
article_144  ,2014
article_4  ,2015
article_437  ,2010
article_287  ,2011
article_193  ,2013
article_359  ,2011
article_1038  ,2004
article_804  ,2006
article_1  ,2015
article_692  ,2007
article_672  ,2008
article_755  ,2007
article_608  ,2008
article_541  ,2009
article_302  ,2011
article_311  ,2011
article_882  ,2005
article_34  ,2015
article_410  ,2010
article_953  ,2005
article_337  ,2011
article_396  ,2010
article_546  ,2009
article_962  ,2005
article_114  ,2014
article_707  ,2007
article_683  ,2007
article_602  ,2008
article_664  ,2008
article_145  ,2014
article_466  ,2010
article_561  ,2009
article_990  ,2005
article_1082  ,2004
article_268  ,2012
article_754  ,2007
article_729  ,2007
article_637  ,2008
article_336  ,2011
article_441  ,2010
article_392  ,2010
article_240  ,2012
article_1058  ,2004
article_224  ,2012
article_872  ,2005
article_72  ,2014
article_249  ,2012
article_419  ,2010
article_912  ,2005
article_329  ,2011
article_810  ,2006
article_887  ,2005
article_206  ,2013
article_1023  ,2004
article_69  ,2014
article_91  ,2014
article_997  ,2005
article_805  ,2006
article_188  ,2013
article_937  ,2005
article_422  ,2010
article_460  ,2010
article_547  ,2009
article_814  ,2006
article_310  ,2011
article_298  ,2011
article_388  ,2010
article_955  ,2005
article_523  ,2009
article_308  ,2011
article_763  ,2007
article_723  ,2007
article_265  ,2012
article_935  ,2005
article_1000  ,2005
article_478  ,2010
article_811  ,2006
article_661  ,2008
article_226  ,2012
article_174  ,2013
article_1006  ,2005
article_720  ,2007
article_538  ,2009
article_931  ,2005
article_593  ,2008
article_201  ,2013
article_442  ,2010
article_769  ,2006
article_1049  ,2004
article_604  ,2008
article_1056  ,2004
article_690  ,2007
article_12  ,2015
article_799  ,2006
article_592  ,2008
article_885  ,2005
article_742  ,2007
article_406  ,2010
article_405  ,2010
article_1045  ,2004
article_210  ,2013
article_621  ,2008
article_164  ,2013
article_1076  ,2004
article_172  ,2013
article_903  ,2005
article_118  ,2014
article_51  ,2015
article_64  ,2015
article_420  ,2010
article_429  ,2010
article_326  ,2011
article_950  ,2005
article_640  ,2008
article_1081  ,2004
article_53  ,2015
article_426  ,2010
article_332  ,2011
article_883  ,2005
article_1039  ,2004
article_48  ,2015
article_455  ,2010
article_417  ,2010
article_674  ,2008
article_938  ,2005
article_884  ,2005
article_117  ,2014
article_532  ,2009
article_271  ,2012
article_995  ,2005
article_380  ,2010
article_18  ,2015
article_340  ,2011
article_681  ,2007
article_498  ,2009
article_577  ,2008
article_853  ,2006
article_1046  ,2004
article_377  ,2010
article_458  ,2010
article_317  ,2011
article_860  ,2006
article_564  ,2009
article_735  ,2007
article_494  ,2009
article_662  ,2008
article_76  ,2014
article_20  ,2015
article_60  ,2015
article_260  ,2012
article_1051  ,2004
article_654  ,2008
article_316  ,2011
article_282  ,2011
article_545  ,2009
article_220  ,2012
article_30  ,2015
article_314  ,2011
article_718  ,2007
article_15  ,2015
article_948  ,2005
article_160  ,2013
article_221  ,2012
article_379  ,2010
article_601  ,2008
article_330  ,2011
article_880  ,2005
article_47  ,2015
article_157  ,2013
article_293  ,2011
article_90  ,2014
article_963  ,2005
article_1091  ,2004
article_827  ,2006
article_468  ,2010
article_1034  ,2004
article_710  ,2007
article_58  ,2015
article_823  ,2006
article_95  ,2014
article_353  ,2011
article_1066  ,2004
article_25  ,2015
article_228  ,2012
article_668  ,2008
article_120  ,2014
article_516  ,2009
article_998  ,2005
article_294  ,2011
article_845  ,2006
article_746  ,2007
article_613  ,2008
article_868  ,2006
article_1007  ,2005
article_922  ,2005
article_470  ,2010
article_717  ,2007
article_387  ,2010
article_324  ,2011
article_1032  ,2004
article_391  ,2010
article_785  ,2006
article_247  ,2012
article_792  ,2006
article_656  ,2008
article_227  ,2012
article_1052  ,2004
article_362  ,2011
article_252  ,2012
article_867  ,2006
article_7  ,2015
article_917  ,2005
article_857  ,2006
article_272  ,2012
article_875  ,2005
article_43  ,2015
article_542  ,2009
article_81  ,2014
article_1003  ,2005
article_657  ,2008
article_462  ,2010
article_796  ,2006
article_109  ,2014
article_505  ,2009
article_552  ,2009
article_1075  ,2004
article_121  ,2014
article_413  ,2010
article_822  ,2006
article_921  ,2005
article_703  ,2007
article_1026  ,2004
article_83  ,2014
article_1098  ,2004
article_309  ,2011
article_9  ,2015
article_734  ,2007
article_364  ,2011
article_357  ,2011
article_199  ,2013
article_500  ,2009
article_1086  ,2004
article_629  ,2008
article_641  ,2008
article_877  ,2005
article_511  ,2009
article_583  ,2008
article_670  ,2008
article_576  ,2008
article_956  ,2005
article_503  ,2009
article_915  ,2005
article_255  ,2012
article_740  ,2007
article_513  ,2009
article_1083  ,2004
article_39  ,2015
article_440  ,2010
article_38  ,2015
article_150  ,2014
article_1022  ,2004
article_142  ,2014
article_534  ,2009
article_942  ,2005
article_154  ,2014
article_705  ,2007
article_644  ,2008
article_493  ,2009
article_968  ,2005
article_775  ,2006
article_782  ,2006
article_758  ,2007
article_366  ,2011
article_638  ,2008
article_928  ,2005
article_281  ,2011
article_256  ,2012
article_686  ,2007
article_817  ,2006
article_180  ,2013
article_524  ,2009
article_1070  ,2004
article_607  ,2008
article_923  ,2005
article_818  ,2006
article_230  ,2012
article_806  ,2006
article_203  ,2013
article_1097  ,2004
article_152  ,2014
