"word";"F"
"fouille de données";89
"bases de données";78
"règles d' association";62
"base de données";48
"jeux de données";34
"recherche d' information";34
"extraction de motifs";31
"flux de données";27
"ensembles de données";25
"jeu de données";22
"extraction de connaissances";21
"arbres de décision";20
"méthodes de classification";19
"mesure de similarité";18
"méthode de classification";16
"point de vue";16
"prise en compte";16
"base de connaissances";15
"mise en oeuvre";15
"type de données";15
"arbre de décision";14
"moteur de recherche";14
"temps de calcul";14
"cours du temps";13
"entrepôts de données";13
"extraction de règles";13
"techniques de fouille";13
"processus de fouille";12
"treillis de concepts";12
"mise à jour";11
"processus d' extraction";11
"qualité des résultats";11
"systèmes de recommandation";11
"algorithme de classification";10
"algorithmes d' apprentissage";10
"ensemble de données";10
"espace de recherche";10
"mesures de proximité";10
"méthode d' extraction";10
"règles de classification";10
"taux d' erreur";10
"découverte de motifs";9
"gestion des connaissances";9
"méthode d' apprentissage";9
"mise en place";9
"nombre d' individus";9
"système d' apprentissage";9
"algorithmes de fouille";8
"domaines d' application";8
"ensemble d' apprentissage";8
"espace de représentation";8
"extraction des connaissances";8
"mesure d' intérêt";8
"nombre de classes";8
"parcours de vie";8
"processus d' apprentissage";8
"programmation par contraintes";8
"recherche d' images";8
"algorithme d' apprentissage";7
"analyse des données";7
"article une méthode";7
"base d' apprentissage";7
"cadre du projet";7
"connaissances du domaine";7
"corpus de textes";7
"découverte de connaissances";7
"ensemble de règles";7
"entrepôt de données";7
"extraction des règles";7
"fonctions de croyance";7
"méthode d' analyse";7
"méthodes d' extraction";7
"perte d' information";7
"points de vue";7
"problème de classification";7
"recherche de motifs";7
"recherche de règles";7
"représentation des connaissances";7
"retour d' expérience";7
"tableau de contingence";7
"table de données";7
"temps d' exécution";7
"temps de réponse";7
"théorie des fonctions";7
"volumes de données";7
"analyse en ligne";6
"cube de données";6
"domaine d' application";6
"ensemble de mesures";6
"ensemble de séquences";6
"exploration de données";6
"fonctions d' oubli";6
"forme de règles";6
"gestion de connaissances";6
"graphes de voisinage";6
"méthode de détection";6
"méthode de fouille";6
"méthode de visualisation";6
"méthodes de fouille";6
"morceau de musique";6
"outil de visualisation";6
"prise de décision";6
"structure de données";6
"structure des données";6
"systèmes de gestion";6
"tableaux de données";6
"temps de traitement";6
"algorithmes d' extraction";5
"algorithmes de recherche";5
"alignement d' ontologies";5
"analyse d' opinions";5
"analyse de données";5
"approche de classification";5
"base de connaissance";5
"bases d' images";5
"bases de connaissances";5
"chaînes de caractères";5
"collection de documents";5
"corpus de documents";5
"distribution de probabilité";5
"données sous forme";5
"extraction d' information";5
"flots de données";5
"forme de graphes";5
"fouille de textes";5
"inférence de réseau";5
"mesure de proximité";5
"mesures d' intérêt";5
"mesures de similarité";5
"méthode de sélection";5
"modèle de mélange";5
"modèle des graphes";5
"nature des données";5
"outils de visualisation";5
"points d' intérêts";5
"préparation des données";5
"problème d' apprentissage";5
"processus de construction";5
"processus de découverte";5
"quantité d' information";5
"quantités de données";5
"recherche d' informations";5
"réécriture de requêtes";5
"représentation des données";5
"réseaux de neurones";5
"résultats de recherche";5
"sélection de modèle";5
"sources de données";5
"tâches de classification";5
"techniques de visualisation";5
"traitement d' images";5
"travaux de recherche";5
"visualisation de données";5
"acquisition des connaissances";4
"algorithme de clustering";4
"algorithmes de classification";4
"approche d' apprentissage";4
"approche de clustering";4
"arbres de régression";4
"base de règles";4
"cas des données";4
"classes d' équivalence";4
"classification d' images";4
"classification des données";4
"coefficient de confiance";4
"connaissance du domaine";4
"construction d' arbres";4
"construction d' ontologies";4
"cubes de données";4
"découverte de règles";4
"détection de changement";4
"détection de communautés";4
"distance d' édition";4
"données d' expression";4
"données de référence";4
"données de simulation";4
"expert du domaine";4
"expression de gènes";4
"extraction d' itemsets";4
"extraction de connaissance";4
"extraction de données";4
"extraction des motifs";4
"forums de santé";4
"fouille de graphes";4
"fouille de règles";4
"fouilles de données";4
"gènes de référence";4
"gestion de flux";4
"graphe de voisinage";4
"groupement de valeurs";4
"images de télédétection";4
"intégration des données";4
"intérêt des règles";4
"langage de spécifications";4
"machines à vecteurs";4
"mélange de lois";4
"mesure de dissimilarité";4
"mesure de qualité";4
"modèle de représentation";4
"modèle des cartes";4
"modèles de prédiction";4
"moyennage de modèles";4
"nombre d' attributs";4
"nombre de dimensions";4
"nombre de motifs";4
"nombre de règles";4
"ontologie de domaine";4
"phase d' apprentissage";4
"profils d' expression";4
"profils et contextes";4
"qualité des données";4
"qualité des règles";4
"quantité de données";4
"recherche de documents";4
"réseau de neurones";4
"sources d' informations";4
"structure des documents";4
"système de recherche";4
"systèmes d' apprentissage";4
"systèmes d' information";4
"tableaux de contingence";4
"table de contingence";4
"traitement des données";4
"validation des connaissances";4
"accès aux documents";3
