"word";"F"
"fouille de données";97
"bases de données";81
"règles d' association";67
"base de données";49
"jeux de données";40
"recherche d' information";38
"extraction de motifs";37
"flux de données";29
"ensembles de données";28
"jeu de données";24
"méthodes de classification";24
"arbres de décision";22
"mesure de similarité";22
"extraction de connaissances";21
"base de connaissances";19
"prise en compte";19
"point de vue";18
"temps de calcul";16
"arbre de décision";15
"extraction de règles";15
"méthode de classification";15
"treillis de concepts";15
"type de données";15
"algorithme de classification";14
"entrepôts de données";14
"techniques de fouille";14
"ensemble de données";13
"moteur de recherche";13
"processus de fouille";13
"qualité des résultats";13
"espace de recherche";12
"processus d' extraction";12
"méthode d' extraction";11
"mise à jour";11
"taux d' erreur";11
"algorithmes d' apprentissage";10
"article une méthode";10
"découverte de motifs";10
"extraction des connaissances";10
"mesures de proximité";10
"méthode d' apprentissage";10
"mise en œuvre";10
"règles de classification";10
"systèmes de recommandation";10
"algorithmes de fouille";9
"base d' apprentissage";9
"cours du temps";9
"cube de données";9
"gestion des connaissances";9
"mesures de similarité";9
"nombre d' individus";9
"nombre de classes";9
"programmation par contraintes";9
"recherche d' images";9
"systèmes d' information";9
"temps d' exécution";9
"volumes de données";9
"algorithme d' apprentissage";8
"analyse des données";8
"approche de classification";8
"découverte de connaissances";8
"domaines d' application";8
"ensemble d' apprentissage";8
"ensemble de règles";8
"espace de représentation";8
"méthode de détection";8
"parcours de vie";8
"processus d' apprentissage";8
"recherche de motifs";8
"temps de réponse";8
"connaissances du domaine";7
"corpus de textes";7
"domaine d' application";7
"ensemble de mesures";7
"entrepôt de données";7
"extraction des règles";7
"fonctions de croyance";7
"fouille de textes";7
"graphes de voisinage";7
"mesure d' intérêt";7
"méthode d' analyse";7
"méthodes d' extraction";7
"mise en oeuvre";7
"mise en place";7
"morceau de musique";7
"nombre de dimensions";7
"nombre de motifs";7
"perte d' information";7
"points d' intérêts";7
"points de vue";7
"recherche de règles";7
"représentation des connaissances";7
"retour d' expérience";7
"tableau de contingence";7
"table de données";7
"théorie des fonctions";7
"algorithmes d' extraction";6
"alignement d' ontologies";6
"analyse de données";6
"analyse en ligne";6
"approche de clustering";6
"article une approche";6
"cadre du projet";6
"ensemble de séquences";6
"extraction d' information";6
"flots de données";6
"fonctions d' oubli";6
"forme de graphes";6
"forme de règles";6
"méthode de fouille";6
"méthode de visualisation";6
"méthodes d' apprentissage";6
"méthodes de fouille";6
"modèle de mélange";6
"prise de décision";6
"problème de classification";6
"processus de découverte";6
"représentation des données";6
"structure de données";6
"structure des données";6
"système de recherche";6
"systèmes de gestion";6
"tableaux de données";6
"temps de traitement";6
"acquisition des connaissances";5
"algorithme d' extraction";5
"algorithme des K-moyennes";5
"algorithmes de classification";5
"algorithmes de recherche";5
"approche de modélisation";5
"base de connaissance";5
"base de règles";5
"bases d' images";5
"bases de connaissances";5
"cas des données";5
"chaîne de traitement";5
"chaînes de caractères";5
"collection de documents";5
"construction d' ontologies";5
"détection de changement";5
"distance d' édition";5
"distribution de probabilité";5
"données d' apprentissage";5
"expert du domaine";5
"exploration de données";5
"expression de gènes";5
"extraction d' itemsets";5
"extraction de séquences";5
"graphe de voisinage";5
"inférence de réseau";5
"machines à vecteurs";5
"mesure de proximité";5
"mesures d' intérêt";5
"méthode de sélection";5
"modèle des graphes";5
