"word";"F"
"treillis de Galois";13
"chaîne de Markov";5
"puces à ADN";5
"correspondance de Galois";4
"modèles de Markov";4
"processus de Poisson";4
"cartes de Kohonen";3
"indice de Jaccard";3
"modèle de Markov";3
"modularité de Newman";3
"algorithme de SVM";2
"boosting de LS-SVM";2
"caractéristiques dans R";2
"filtres de Bloom";2
"formule de Sherman-Morrison-Woodbury";2
"iceberg de Galois";2
"lois de von";2
"ordre de Pareto";2
"processus d' ECD";2
"Règles d' Association";2
"régularisation de Tikhonov";2
"Séparateurs à Vaste";2
"Systèmes de Gestion";2
"achats de Noël";1
"aide de Cartes";1
"aide de SVM";1
"algorithme de Kohonen";1
"algorithme de Least";1
"algorithme de LS-SVM";1
"algorithme de Newton-GSVM";1
"algorithme de PSVM";1
"algorithme de SOM";1
"algorithmes de NSVM";1
"analyse de Bases";1
"applications en Recherche";1
"apprentissage de Concepts";1
"apprentissage de SVM";1
"approche de Hill";1
"approche de Kohonen";1
"arbres de Peano";1
"axiomes d' Armstrong";1
"base de TreeMap";1
"Bases de Données";1
"boosting de Least-Squares";1
"boosting de Newton";1
"boosting de NSVM";1
"boosting de PSVM";1
"borne de Bernstein";1
"cadre de Polarsys";1
"campagnes de SemEval";1
"caractéristique de TourneBool";1
"carte de France";1
"chaînes de Markov";1
"champs de Markov";1
"chemins de Hilbert-Peano";1
"classes en UML";1
"codex de Dresde";1
"collaboration avec France";1
"complexité de NextClosure";1
"concept de Cube";1
"concept de SKYLINE";1
"concept de Spatial";1
"connaissances de Wikipédia";1
"couplage entre OLAP";1
"courbes de Peano";1
"discrétisation de Fayyad-Irani";1
"distance de Bhattacharyya";1
"distance de Levenstein";1
"distance de Ward";1
"divergences de Kullback-Leibler";1
"données d' OpenStreetMap";1
"données de KDD-CUP-98";1
"dynamique de GRAAL";1
"Électricité de France";1
"entropie de Shannon";1
"environnement avec AGROVOC";1
"épidémie de Dengue";1
"espace de Hilbert";1
"étang de Thau";1
"experts en GRH";1
"extension de LICORN";1
"extension de XQuery";1
"extensions de SPARQL";1
"extensions de SQL";1
"Extraction de Connaissances";1
"extraction de DF";1
"extraction de RAPN";1
"face à AdaBoost";1
"familles de Moore";1
"filtre de Bloom";1
"fins de CBIR";1
"fonctionnement de CARTOCEL";1
"fonctionnement de Corese";1
"formule de Lance";1
"grâce à HERBS";1
"graphe de Delaunay";1
"graphe de Voisins";1
"guerre de Cent";1
"Hôtel-Dieu de Paris";1
"hypercube de Hamming";1
"images de FlickR";1
"implication de Gras";1
"indice de Gini";1
"inégalité de Hoeffding";1
"innovation d' AID";1
"intégrale de Choquet";1
"intégrale de Sugeno";1
"intégration d' XML";1
"intérêt de HCAViz";1
"intérêt de PoBOC";1
"inter-langue dans Wikipédia";1
"interprète de GRAAL";1
"interrogation pour XML";1
"introduction par Agrawal";1
"justice en France";1
"lagune de Thau";1
"lois de Zipf";1
"matrices de Gram";1
"matrices de Poisson";1
"mécanisme de RaPC";1
"Mesure de Dissimilarité";1
"mesure de TF-IDF";1
"méthode d' Analyse";1
"méthode de Lobo";1
"méthode de Louvain";1
"méthode de Web";1
"méthode de Zipf";1
"méthodes de SdV";1
"méthodes de SV";1
"méthodes de SVM";1
"métrique de Hellinger";1
"métropole de Lyon";1
"modularité de Newman-Girvan";1
"motifs d' ADN";1
"multiplicateurs de Lagrange";1
"NEXI dans XQuery";1
"nombre de Betti";1
"nombres de Betti";1
"non-RDF vers RDF";1
"notion d' Ontologie";1
"notion de Tuple";1
"notion de Valeur";1
"notion de Web";1
"objectifs d' Observox";1
"oeuvre dans SomeRDFS";1
"œuvre dans TaxoMap";1
"œuvre par Vrac";1
"ondes de Breiman";1
"optimisation de Louvain";1
"optimisations de K-SC";1
"originalité de SPARQL-Generate";1
"parallélisation sur CPU";1
"partenariat avec France";1
"partie de DBpédia";1
"partition de Voronoi";1
"partitions de Voronoi";1
"plan par Multi";1
"prédiction de CPT";1
"présentation de XLive";1
"primitives de OWL-DL";1
"principe de AMS-EM";1
"produits de VMMatériaux";1
"propos avec QuantMiner";1
"proposition à Apache";1
"prototypes de SGFD";1
"publications à EGC";1
"Raisonnement à Partir";1
"rapport à All-K-order";1
"rapport à FCM";1
"région de Strasbourg";1
"régression par SVM";1
"Renaissance en France";1
"représentation de Birkhoff";1
"réseau de Twitter";1
"Réseaux de Markov";1
"Risque d' Audit";1
"sein de Twitter";1
"Sélection de Variable";1
"sens de Bayes";1
"séquences d' ADN";1
"similarité de Leacock";1
"simplicial de Delaunay";1
"sketch de Considine";1
"solveur de CSP";1
"sous-ensemble de XPath";1
"sous-graphe de Wikipédia";1
"synsets de WordNet";1
"syntaxe de C-SPARQL";1
"Système de Recherche";1
"systèmes de QR";1
"systèmes de Question-Réponse";1
"tableaux de Beth";1
"tâche en PPC";1
"tâches en Fouille";1
"technique de Markov";1
"techniques de VDM";1
"techniques de Web";1
"téléphonie sur IP";1
"test sur Plasmodium";1
"théorie de Kolmogorov";1
"tourisme de Metz";1
"transformée de Fourier";1
"transformée de Hough";1
"travaux d' Orange";1
"travaux de Billard";1
"travaux de Vladimir";1
"unification de Dépendances";1
"utilisateur de C3R";1
"utilisateurs de Wikipédia";1
"utilisation de DTW";1
"utilisation de SVM";1
"utilisation de WordNet";1
"valeur de F";1
"version d' AdaBoost";1
"ville de Grenoble";1
"voisinage de Gabriel";1
