"word";"F"
"Web";105
"SVM";39
"RDF";32
"We";32
"OLAP";28
"AFC";24
"Markov";22
"Galois";19
"EGC";18
"XML";18
"Analyse";16
"Data";16
"SOM";16
"The";16
"Données";15
"Big";14
"Bayésien";13
"France";13
"UCI";13
"XQuery";12
"KM";11
"However";10
"OWL";10
"Support";10
"ADN";9
"Kohonen";9
"Mining";9
"Twitter";9
"Apriori";8
"Concepts";8
"Knowledge";8
"LS-SVM";8
"P2P";8
"SGFD";8
"Analysis";7
"Clustering";7
"Cube";7
"ECD";7
"Émergent";7
"SIG";7
"With";7
"DF";6
"DTW";6
"Dynamic";6
"FCA";6
"Khiops";6
"Machine";6
"MapReduce";6
"SIFT";6
"This";6
"Time";6
"Vector";6
"ADT";5
"ARC";5
"Danscet";5
"Feature";5
"Framework";5
"Intelligence";5
"It";5
"MeSH";5
"MI";5
"NELL";5
"NPC";5
"OKM";5
"Poisson";5
"PSVM";5
"R";5
"RS-NDF";5
"Semantic";5
"Sémantique";5
"UML";5
"Usage";5
"ANR";4
"Bayes";4
"Bayesien";4
"BDG";4
"CNSS";4
"CRF";4
"DFC";4
"EM";4
"Ensemble";4
"FIA";4
"Filter";4
"First";4
"Google";4
"GPU";4
"ISAR";4
"ISICIL";4
"LICORN";4
"LSA";4
"Map";4
"Processing";4
"Quotient";4
"Relationnels";4
"RI";4
"SGBD";4
"Social";4
"SP";4
"SPARQL";4
"System";4
"These";4
"Tree";4
"Visual";4
"Warping";4
"AdaBoost";3
"AMO";3
"Bayesian";3
"Bayésienne";3
"BiTM";3
"Bloom";3
"Breiman";3
"CAH";3
"city";3
"Corese";3
"CPT";3
"D";3
"DBLP";3
"Detection";3
"Discovery";3
"Facebook";3
"FCM";3
"Fermé";3
"Formelle";3
"FPOF";3
"Français";3
"Gestion";3
"GRAAL";3
"Graph";3
"Hadoop";3
"IC-Doc";3
"Implicative";3
"Indeed";3
"Information";3
"IP";3
"Italy";3
"Jaccard";3
"K-means";3
"KNN";3
"Kolmogorov-Smirnov";3
"K-SC";3
"Language";3
"Marge";3
"MCA";3
"MF";3
"Model";3
"Moreover";3
"Most";3
"Multi";3
"Multidimensional";3
"Newman";3
"NextClosure";3
"NK";3
"NP-difficile";3
"NSVM";3
"Ontology";3
"Open";3
"Orange";3
"RàPC";3
"Recently";3
"Recherche";3
"Reuters-21578";3
"RFID";3
"Rough";3
"Scale";3
"Search";3
"Set";3
"Shannon";3
"SOCs";3
"Specifically";3
"SRI";3
"Structure";3
"SUMMARIZER";3
"TEI";3
"Therefore";3
"THR";3
"TOM";3
"Transform";3
"Tulip";3
"Using";3
"Vaste";3
"VSM";3
"Wikipédia";3
"WOKM";3
"Xa";3
"XLive";3
"Zipf";3
"ACF";2
"ACFS";2
"ACKA";2
"ACM";2
"AID";2
"ALD";2
"AMIEI";2
"AMS-EM";2
"Analytical";2
"Apache";2
"Aperture";2
"Approach";2
"Approximer-et-Pousser";2
"ArdansSas";2
"ARGs";2
"ARN";2
"ARQAT";2
"Artificial";2
"Asia";2
"ASP";2
"Association";2
"Attribués";2
"Audiovisuel";2
"Automatic";2
"B";2
"Bernstein";2
"Betti";2
"BIC";2
"Biclustering";2
"BS";2
"C3R";2
"C4";2
"Carlo";2
"CART";2
"CARTOCEL";2
"CASI";2
"CC";2
"Cellular";2
"Centroïd";2
"CHIC";2
"CISMeF";2
"CKIM";2
"Classification";2
"CLEF";2
"Closed";2
"CMP";2
"CommentsMiner";2
"Complex";2
"Connaissances";2
"Cooper-Herskovitz";2
"CoSC";2
"C-SPARQL";2
"CSTB";2
"CT-SVM";2
"CVSM";2
"DAG";2
"DataMining";2
"DBpédia";2
"DC";2
"DCA";2
"Defence";2
"Défi";2
"Delaunay";2
"Description";2
"DG";2
"Diday";2
"Dimensional";2
"DMV";2
"Document";2
"DT-CWT";2
"EI";2
"EIAH";2
"Euclidienne";2
"EveryWhere";2
"Exchange";2
"FA";2
"Factorielle";2
"Finally";2
"Fisher";2
"Flux";2
"FoDoMuSt";2
"Fonctionnelles";2
"Forest";2
"Formels";2
"Fouille";2
"frequency";2
"From";2
"Fscore";2
"Furthermore";2
"Géographiques";2
"GeoPKDD";2
"GHSOM";2
"Giannella";2
"GOF";2
"Graphes";2
"Gras";2
"G-Stream";2
"HCAViz";2
"HCI";2
"Hence";2
"Herman";2
"hierarchy";2
"Hilbert";2
"HMM";2
"Hoeffding";2
"HOG";2
"Homme";2
"IDF";2
"If";2
"INRIA";2
"Instead";2
"Inverse";2
"IRM";2
"IRMf";2
"Itemset";2
"JAVA";2
"K";2
"KDTW";2
"Keeping";2
"K-Spectral";2
"Large";2
"Latent";2
"LBSN";2
"LDA";2
"Learning";2
"Least-Squares";2
"Lesutilisateurs";2
"LibSVM";2
"Lobo";2
"Louvain";2
"Luxembourg";2
"Mangasarian";2
"Many";2
"MAP";2
"Massive";2
"Medline";2
"ML";2
"Mndki2";2
"Mo";2
"Modèles";2
"MODL";2
"Monte";2
"MTR";2
"NDF";2
"NEXI";2
"NoSQL";2
"Notreapproche";2
"Notreobjectif";2
"Nousproposons";2
"Nowadays";2
"Numao";2
"Ocelet";2
"OCGL";2
"Often";2
"OKMED";2
"On-Line";2
"OpAC";2
"Organizing";2
"Overlapping";2
"P";2
"PAKDD";2
"Panel";2
"Pareto";2
"Paris";2
"PCO";2
"PC-P4";2
"Peano";2
"PGR";2
"PLCM";2
"PLI";2
"PoBOC";2
"POI";2
"Poitrenaud";2
"PORGY";2
"PPC";2
"PPM";2
"Protein";2
"QR";2
"QuantMiner";2
"Quezao";2
"RA";2
"Radar";2
"RAIL";2
"RAM";2
"Random";2
"RankMerging";2
"RaPC";2
"RBF";2
"RDFS";2
"Repository";2
"Research";2
"Réseau";2
"Retroweb";2
"RGCCA";2
"Ringnorm";2
"ROC";2
"Rocchio";2
"RosettaDock";2
"SAX";2
"Scaling";2
"SdV";2
"SECM";2
"Self";2
"Series";2
"Shasha";2
"Sherman-Morrison-Woodbury";2
"SIAD";2
"Simple";2
"Simultaneous";2
"Skin3D";2
"SKYLINE";2
"SMA";2
"SNSs";2
"SoCo";2
"SOLAP";2
"SomeRDFS";2
"SOP";2
"SPAMS";2
"Spatial";2
"SPO";2
"SPSF";2
"SQL";2
"SQR";2
"SSVC";2
"Stack";2
"STATIS";2
"Statistique";2
"ST-SURF";2
"Student";2
"Surgical";2
"Suykens";2
"SV";2
"SVMs";2
"Symbolic";2
"Synthetic";2
"Systems";2
"TA";2
"TAL";2
"TCA";2
"Telecom";2
"Textuelles";2
"Thau";2
"Then";2
"There";2
"Thispaper";2
"Tikhonov";2
"Today";2
"Topological";2
"TourneBool";2
"TreeMap";2
"Twonorm";2
"Unicode";2
"Unlike";2
"Vandewalle";2
"variety";2
"VDM";2
"VectorMachine";2
"VisuGraph";2
"von";2
"Voronoi";2
"Vraisemblance";2
"W3C";2
"we";2
"WebAngels";2
"Wikipedia";2
"WordNet";2
"Xi";2
"Xplor";2
"Zhu";2
"3GHz";1
"AB";1
"A-Box";1
"ACA";1
"Acabit";1
"ACCORDS";1
"ACI";1
"Acquisition";1
"ACR";1
"ACT";1
"Actually";1
"Adaptés";1
"Additionally";1
"ADNlocaux";1
"ADS";1
"Adult";1
"AFCest";1
"Against";1
"Agent";1
"Agents";1
"AGG";1
"Agglomerative-Clustering";1
"Aggregate";1
"Agrawal";1
"Agrégation";1
"Aided";1
"Airoldi";1
"Alceste";1
"Aléatoires";1
"Algorithm";1
"Alignment";1
"All";1
"All-k-order";1
"All-K-order";1
"ALN";1
"Alpes";1
"Also";1
"Although";1
"Analogue";1
"Analyses";1
"AnalysisProcessing";1
"Analytics";1
"Ancien";1
"Annotation";1
"AnnotEv";1
"Anonymous";1
"ANOVA";1
"ANR-DFG";1
"Ans";1
"AntGraph";1
"AntTree";1
"Apprentissage";1
"Approche";1
"Arcelor";1
"Ardans";1
"Ardansdans";1
"AREVA";1
"ARIMA";1
"Arles";1
"Armstrong";1
"Articque";1
"Artificielle";1
"Aspect";1
"Associated";1
"Atanorqui";1
"ATHANOR";1
"Atlantique";1
"ATM";1
"ATR";1
"Attributs";1
"AUC";1
"Audit";1
"Automata";1
"Automaton";1
"Auto-Organisatrice";1
"AutoRegressiveIntegrated";1
"Average";1
"AWSDL";1
"B1";1
"Bag-of-visual-Words";1
"Balanced";1
"Banerjee";1
"Bank";1
"Based";1
"Bases";1
"Basis";1
"Basse";1
"BATM";1
"Bayeset";1
"Bayesienne";1
"Bayesiennede";1
"BCT";1
"BEA";1
"Beam";1
"Benchmark";1
"Bennani";1
"Beth";1
"BFS";1
"BGP";1
"Bhattacharyya";1
"BI";1
"Billard";1
"Binary";1
"Bio";1
"BioNLP";1
"BIOTIM";1
"BIRADS";1
"BIRCH";1
"Birkhoff";1
"BJT4R";1
"Blachon";1
"Block";1
"BM²L";1
"Bn";1
"BN";1
"Bologna";1
"B-Ontology";1
"BooLoader";1
"Boosting";1
"BOOTSTRAP";1
"Bordat's";1
"Borgne";1
"Both";1
"Bouché";1
"Brazil";1
"Breadth-First";1
"Broad";1
"BrownBoost";1
"BS_DF";1
"Bunn";1
"Business";1
"Cabanes";1
"CACM";1
"CAF";1
"Cahier";1
"Caisse";1
"Caltech";1
"Caltech-4";1
"Calvelo";1
"Cameroun";1
"Canada";1
"Carte";1
"CARTégal";1
"Cartes";1
"CartesAuto-Organisatrices";1
"CARTOgraphiesCELlulaires";1
"Carvalho";1
"Cas";1
"Cassandra";1
"Categorical";1
"CBIR";1
"CBOR";1
"CB-SVM";1
"CD7Online";1
"CDCStream";1
"CDS";1
"Cecoefficient";1
"Cenouvel";1
"Cent";1
"Ce-pendant";1
"Cepen-dant";1
"Cependent";1
"Cesparadigmes";1
"Cetarticle";1
"Cetopérateur";1
"CHAIN";1
