"word";"F"
"Support Vector Machine";6
"Dynamic Time Warping";4
"Web Usage Mining";4
"Analyse Statistique Implicative";2
"Graphes Relationnels Attribués";2
"Large Scale Learning";2
"Least-Squares Support Vector";2
"Multi Dimensional Scaling";2
"Novelty Detection Filter";2
"Synthetic Aperture Radar";2
"Agents Collaborateurs Emotionnels";1
"Analyse Sémantique Latente";1
"Ardans Knowledge Maker";1
"Aspect Topological Model";1
"Automatic Target Recognition";1
"AutoRegressive Integrated Moving";1
"Balanced Iterative Reducing";1
"Bio MedicalDataset Repository";1
"Block Relevanceusing BiTM";1
"Carlo Tree Search";1
"Cellular Neuro-Symbolic System";1
"Classification Hiérarchique Implicative";1
"Clause Description Structure";1
"Closed Itemset Generation";1
"Complex Wa-velet Transform";1
"Composantes Principales Granulaire";1
"Conceptual Graph Language";1
"Constraint Satisfaction Problems";1
"Cooperative Knowledge Acquisition";1
"Cost-Sensitive One Against";1
"Cube Fermé Émergent";1
"Data Enrichment Tool";1
"Density-based Simultaneous Two-Level";1
"Dual-Tree Complex Wa-velet";1
"Feature Block Relevanceusing";1
"Frequent Itemset Automaton";1
"Generative Topographic Mapping";1
"Graphics Processing Units";1
"Growing Neural Gas";1
"Hôpital Henri Mondor";1
"Image Time Series";1
"Integrated Moving Average";1
"Invariant Feature Transform";1
"Inverse Synthetic Aperture";1
"Iterated Conditional Modes";1
"Kent Ridge Bio";1
"Knowledge Dynamic Maps";1
"Knowledge Integrated Model";1
"Latent Semantic Analysis";1
"Least Squares SVM";1
"Liens Relationnels Normalisée";1
"Massive Open Online";1
"Medical Subject Headings";1
"Mining Software Repositories";1
"Modèles Linéaires Généralisés";1
"Monitoring Cognitive Agent";1
"Monte Carlo Tree";1
"Multi Models Tree";1
"Newton Support Vector";1
"One Against All";1
"On-Line Analysis Processing";1
"OnLine Analytical Processing";1
"On-Line Analytical Processing";1
"Ontologie Pragmatisée Vernaculaire";1
"Ontology Conceptual Graph";1
"Open Online Courses";1
"Order Sorted Features";1
"OWL-Lite Visual Alignment";1
"PASCAL Large Scale";1
"Pole-Based Overlapping Clustering";1
"Polynomial Max-Min Skeleton";1
"Principal Component Analysis";1
"Protein Data Bank";1
"Protein Graph Repository";1
"Proximal Support Vector";1
"Radial Basis Function";1
"Radio Frequency IDentification";1
"Random Subspace Novelty";1
"Receiver Operating Characteristics";1
"Reference Annotation System";1
"Ridge Bio MedicalDataset";1
"Satellite Image Time";1
"Scale Invariant Feature";1
"Scale-Invariant Feature Transform";1
"Scale Learning Challenge";1
"Self Organizing Map";1
"Semantic Data Enrichment";1
"Semantic Quality Environment";1
"Semi-Supervised Visual Clustering";1
"Services Web Adaptés";1
"Simultaneous Twolevel Clustering";1
"Sites Médicaux Francophones";1
"Space-Time Principal Component";1
"Sparse Representation-based Classification";1
"Speed UpRobust Feature";1
"Subspace Novelty Detection";1
"Support Vecteur Machine";1
"Teinte Saturation Luminance";1
"Text Encoding Initiative";1
"Time Series Shapelets";1
"Très Grande Infrastructure";1
"Visual Data Mining";1
"Web Contentand Usage";1
"XML Structure Lining";1
